language,en,中文
__ok,OK,OK
__you,You,You
__oops,Oops,Oops
__edit,Edit,Edit
__save,Save,Save
__archive,Archive,Archive
__cancel,Cancel,Cancel
__close,Close,Close
__clear,Clear,Clear
__delete,Delete,Delete
__update,Update,Update
__create,Create,Create
__search,Search,Search
__unarchive,Unarchive,Unarchive
__add,Add,Add
__no_selection,No Selection,No Selection
__no_results,No Results,No Results
__form_not_filled_correctly,Please fill all the required fields with correct format.,Please fill all the required fields with correct format.
__warning,Warning,Warning
_alert_api_success_title,API Request Success,API Request Success
_alert_api_success_desc,The action is completed successfully.,The action is completed successfully.
_alert_api_failure_title,API Request Failure,API Request Failure
_alert_api_failure_desc,The action is failure due to %{message}.,The action is failure due to %{message}.
_alert_api_warring_title,API Request Warring,API Request Warring
_alert_api_warring_desc,The action is failure due to %{message}.,The action is failure due to %{message}.
_alert_api_timeout_title,API Request timeout,API Request timeout
_alert_api_timeout_desc,The action is failure due to %{message}.,The action is failure due to %{message}.
_alert_api_network_error_title,API Request timeout,API Request timeout
_alert_api_network_error_desc,The action is failure due to %{message}.,The action is failure due to %{message}.
_alert_api_unauthorized_title,Unauthorized API Request,Unauthorized API Request
_alert_api_unauthorized_desc,The action is failure due to %{message}.,The action is failure due to %{message}.
appliaction_stage_pending_review,Pending Review,Pending Review
job.state.new,New,New
job.state.interview,Interview,Interview
job.state.hired,Hired,Hired
job.status.status,Status,Status
job.status.published,Published,Published
job.status.not_published,Not Published,Not Published
job.status.archived,Archived,Archived
job.text.school_deactived_hint,Notice: The belonging School of this job is current deactivated.,Notice: The belonging School of this job is current deactivated.
job.text.created_at,Created At: ,Created At: 
job.text.updated_at,Updated At: ,Updated At: 
job.text.required_fields,Required Fields,Required Fields
job.text.job_requirements,Job Requirements,Job Requirements
job.text.accent,Accent,Accent
job.text.student_age,Student Age,Student Age
job.text.min_degree,Minimal Degree,Minimal Degree
job.text.job_type,Job Type,Job Type
job.text.pay_rate,Pay Rate,Pay Rate
job.text.timezone,Timezone,Timezone
job.text.class_type,Class Type,Class Type
job.text.internet_speed_uploading,Internet Speed Uploading,Internet Speed Uploading
job.text.internet_speed_downloading,Internet Speed Downloading,Internet Speed Downloading
job.text.salary_range,Salary Range per Month,Salary Range per Month
job.text.visa,Visa,Visa
job.text.onsite_country,Onsite Country,Onsite Country
job.text.onsite_zipcode,Onsite Zip Code,Onsite Zip Code
job.text.onsite_city,Onsite City,Onsite City
job.text.onsite_street,Onsite Street,Onsite Street
job.text.teaching_years,Teaching Years,Teaching Years
job.text.optional_fields,Optional Fields,Optional Fields
job.text.nationality,Nationality,Nationality
job.text.residence,Residence,Residence
job.text.job_duration,Job Duration,Job Duration
job.text.certification,Certification,Certification
job.text.second_language,Second Language,Second Language
job.text.years_of_experience,Years of Experience,Years of Experience
job.text.class_info,Class Info,Class Info
job.text.class_per_week,Class per Week,Class per Week
job.text.times,times,times
job.text.class_length,Class Length,Class Length
job.text.class_size,Class Size,Class Size
job.text.min_hour_commitment,Minimal Hour Commitment,Minimal Hour Commitment
job.text.support_email,Support Email,Support Email
job.text.application_email,Application Email,Application Email
job.text.application_url,Application URL,Application URL
job.text.job_details,Job Details,Job Details
job.text.attached_file,Attached File,Attached File
job.text.link,Link to File,Link to File
job.text.description,Description,Description
job.text.compensation,Compensation,Compensation
job.text.visa_requirements,Visa Requirements,Visa Requirements
job.text.address_country,Address Country,Address Country
job.text.zipcode,Zip Code,Zip Code
job.text.address_city,Address City,Address City
job.text.address_street,Address Street,Address Street
job.text.job_title,Job Title,Job Title
job.text.school,School,School
job.text.status,Status,Status
job.text.min_hour_commitment_per_week,Minimal Hour Commitment per Week,Minimal Hour Commitment per Week
job.text.oetjobs_url,OETJobs School URL,OETJobs School URL
job.text.upload_pdf_instruction,Select a description file in PDF format to upload.,Select a description file in PDF format to upload.
job.text.upload_pdf_hint,Tips: Upload description file can highly make potential candidate know about the job.,Tips: Upload description file can highly make potential candidate know about the job.
job.button.see_full_details,See Full Details,See Full Details
job.button.auto_pair_new_job,Auto pair new job data,Auto pair new job data
